cons_parse
NP VP /// NNP VBZ NP
NP VP /// JJ NN VBZ NP
NP VP /// NN NN VBZ NP
NP VP /// NNP NNP VBZ NP
NP VP /// NN VBZ NP
NP VP /// NNP NN VBZ NP
NP VP /// NP HYPH NP VBZ NP
NP VP /// JJ NNP VBZ NP
NP VP /// NN NNP VBZ NP
NP VP /// JJ NN NN VBZ NP
NP VP /// NN NN NN VBZ NP
NP VP /// NNP NNP NNP VBZ NP
S VP /// VP VBZ NP
NP VP /// VBN NN VBZ NP
NP VP /// NNP NNP NN VBZ NP
NP VP /// NNS NN VBZ NP
NP VP /// ADJP HYPH NP VBZ NP
NP VP /// JJ NNS VBZ NP
NP VP /// NN NNS VBZ NP
NP VP /// NNS NNP VBZ NP
NP VP /// JJ JJ NN VBZ NP
NP VP /// NP PP VBZ NP
NP VP /// NNP NN NN VBZ NP
NP VP /// NNS VBZ NP
NP VP /// JJ HYPH NN NN VBZ NP
NP VP /// VBG NN VBZ NP
NP VP /// JJ NNS NN VBZ NP
NP VBZ NP /// NN NN ? NP PP
NP HYPH NP VP /// NN ? NN NN VBZ NP
NP VP /// VBN NNP VBZ NP
NP VP /// NNP NNS VBZ NP
NP VP /// VB NN VBZ NP
NP VP /// ADJP HYPH NN NN VBZ NP
NP VP /// NNP VBZ NP PP
NP VP /// NN NNP NN VBZ NP
NP VP /// ADJP NN VBZ NP
NP VP /// JJ NNP NN VBZ NP
NP VBZ NP /// NNP ? NP SBAR
NP VP /// VBG VBZ NP
S HYPH NP VP /// VP ? NN NN VBZ NP
NP VP /// VBN NN NN VBZ NP
NP VP /// JJ NN VBZ NP PP
